workerid,trial_number,filler,prime_type,prime_strength,trial_type,prime_target,within_between,category,p1-correct,p1-response,p2-correct,p2-response,t-correct,t-response,strong_response_bool
36,19,"""false""",some,weak,four,four some,between,"""some_weak_four""",1,"""right""",0,"""left""",0,"""right""",1
36,20,"""false""",six,strong,six,six six,within,"""six_strong_six""",0,"""left""",0,"""left""",1,"""right""",1
36,21,"""true""",six,weak,six,six six,within,"""six_weak_six""",1,"""left""",1,"""right""",0,"""right""",1
36,22,"""false""",four,strong,six,four six,between,"""four_strong_six""",0,"""left""",1,"""right""",1,"""right""",1
36,23,"""false""",four,strong,some,four some,between,"""four_strong_some""",0,"""left""",1,"""right""",1,"""right""",1
36,24,"""false""",some,strong,some,some some,within,"""some_strong_some""",1,"""right""",1,"""right""",1,"""right""",1
36,25,"""false""",six,strong,four,four six,between,"""six_strong_four""",0,"""left""",1,"""right""",1,"""right""",1
36,26,"""false""",four,strong,six,four six,between,"""four_strong_six""",0,"""left""",0,"""left""",1,"""right""",1
36,27,"""false""",six,weak,some,six some,between,"""six_weak_some""",0,"""left""",0,"""left""",0,"""right""",1
36,28,"""false""",some,strong,four,four some,between,"""some_strong_four""",1,"""right""",1,"""right""",1,"""right""",1
36,29,"""false""",four,weak,six,four six,between,"""four_weak_six""",0,"""left""",0,"""left""",0,"""right""",1
36,30,"""false""",four,weak,four,four four,within,"""four_weak_four""",0,"""left""",1,"""right""",0,"""right""",1
36,31,"""false""",some,weak,some,some some,within,"""some_weak_some""",1,"""right""",0,"""left""",0,"""right""",1
36,32,"""false""",some,weak,some,some some,within,"""some_weak_some""",1,"""right""",1,"""right""",0,"""right""",1
36,33,"""false""",some,weak,some,some some,within,"""some_weak_some""",1,"""right""",1,"""right""",0,"""right""",1
36,34,"""true""",four,weak,four,four four,within,"""four_weak_four""",0,"""left""",0,"""left""",0,"""right""",1
36,35,"""false""",four,weak,six,four six,between,"""four_weak_six""",1,"""right""",1,"""right""",0,"""right""",1
36,36,"""false""",some,strong,four,four some,between,"""some_strong_four""",1,"""right""",1,"""right""",1,"""right""",1
